Data_de_Nascimento;Sexo;Renda_Familiar;Recebe_Auxilio;Q_Reprovacoes
28/01/1998;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;6
04/08/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;7
13/02/1984;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;9
15/03/1995;F;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;9
28/02/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;1
11/05/1987;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;23
24/03/1992;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;10
08/08/1995;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;2
23/11/1996;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;11
23/10/1995;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);AUXÍLIO MORADIA;2
25/08/1994;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;2
20/09/1995;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
24/10/1992;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;15
28/10/1997;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;4
18/01/1999;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);
26/10/1999;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;7
20/09/1995;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;6
13/06/1995;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
30/09/1998;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;5
15/01/1993;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;3
18/06/1992;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;1
21/11/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;2
11/02/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;4
01/03/1998;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
31/08/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;2
01/06/1990;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;3
21/05/1995;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;11
20/03/1975;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;8
14/04/1994;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;4
09/09/1986;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;1
04/10/1993;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);9
31/08/1994;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
23/07/1993;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
01/12/1995;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;5
12/12/1998;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
17/04/1992;M;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;5
08/03/1992;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
27/04/1992;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;20
21/12/1993;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;13
18/03/1992;M;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;2
18/08/1995;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;1
15/03/2000;F;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;
08/05/1991;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;5
27/02/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;4
06/05/1992;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
25/05/1995;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
18/05/1997;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;5
28/07/1994;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
03/07/1998;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
27/05/1994;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;4
05/08/1994;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
15/09/1994;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
27/11/1996;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;1
07/06/1988;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;3
29/08/1991;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;7
19/02/1990;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
31/08/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;8
19/07/1994;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;12
26/07/1996;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;3
09/03/1998;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;
05/07/1993;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
06/03/1989;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;6
27/07/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;5
23/05/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;13
09/12/1997;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
08/09/1997;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
14/06/1991;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;2
02/04/1979;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
14/05/1995;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;4
10/11/1986;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);BOLSA APOIO AO ESPORTE;
02/08/1991;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;22
02/12/1987;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
02/03/1982;F;Renda familiar acima de 20 Salários Mínimos - (13.560,00 ou mais);;16
19/11/1996;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
14/05/1992;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;23
23/06/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);10
20/05/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;13
23/03/1995;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;7
05/02/1995;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
21/01/1997;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;4
08/05/1997;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;15
30/09/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO DIDÁTICO-PEDAGÓGICO;3
20/05/1999;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
07/12/1997;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
17/06/1997;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
16/01/1993;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;16
15/11/1987;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;6
30/06/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;6
27/08/1994;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;1
12/01/1995;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;3
23/05/1992;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;14
30/03/1989;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;3
20/10/1992;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;6
24/08/1973;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
22/06/1992;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;1
06/10/1993;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;5
01/01/1992;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;27
29/03/2000;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
06/10/1998;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);BOLSA PERMANÊNCIA ACADÊMICA;
21/07/1995;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;2
25/10/1984;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;10
16/06/1995;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
24/05/1997;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);10
16/12/1998;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
30/09/1997;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;2
04/03/1998;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
27/12/1996;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;
18/11/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);1
10/06/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
09/06/1991;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;6
22/12/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;2
23/03/1996;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;8
11/08/1997;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;3
28/02/1995;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;10
05/03/1993;F;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;13
15/07/1994;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;17
22/03/1989;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
21/02/1990;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;21
11/08/1994;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;4
12/05/1987;M;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;5
14/10/1994;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;3
15/05/1998;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
15/07/1997;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;6
18/08/1992;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
04/03/1989;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;11
05/06/1992;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;5
02/11/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);3
25/12/1994;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;7
08/08/1998;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
26/03/1990;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);
25/07/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
13/09/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO TRANSPORTE;
20/03/1995;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;11
02/03/1994;F;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;1
25/10/1989;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;20
19/08/1985;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
02/11/1993;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;21
30/03/1991;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;15
17/09/1990;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);1
06/07/1993;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;2
23/10/1995;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);BOLSA PERMANÊNCIA ACADÊMICA;2
13/04/1993;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;1
20/08/1990;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
01/06/1986;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;8
13/12/1995;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
05/05/1996;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;1
13/07/1998;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
22/02/1995;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
03/01/1988;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;21
09/03/1984;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;13
13/04/1998;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);4
21/07/1998;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;2
26/08/1979;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
01/10/1998;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;
12/01/1993;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;4
21/08/1997;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;5
18/07/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO DIDÁTICO-PEDAGÓGICO;
07/10/1991;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;1
20/08/1996;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;1
13/06/1990;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
20/05/1995;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);AUXÍLIO MORADIA;13
21/12/1989;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;20
18/05/1998;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);
08/03/1994;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;2
16/06/1994;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;11
21/07/1993;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;4
03/05/1997;F;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;7
15/09/1997;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;5
19/06/1984;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;5
22/11/1992;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;9
04/08/1970;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;21
31/01/1991;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
05/07/1987;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
05/05/1992;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;3
16/10/1995;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;10
04/09/1992;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;3
02/04/1993;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
03/08/1993;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
06/04/1999;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
12/03/1996;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;1
21/03/1994;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
21/09/1994;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;13
01/06/1995;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;3
01/04/1985;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;4
13/03/1992;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;40
05/10/1989;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;2
11/02/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;5
11/03/1990;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;9
08/07/1981;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;12
10/07/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);BOLSA PERMANÊNCIA ACADÊMICA;2
25/07/1995;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
09/03/1998;M;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;6
21/08/1992;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);BOLSA APOIO AO ESPORTE;7
